symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,sniper,knn_score,swing_trend,pullback_frac,run_len_before,impulse6_atr,retrace_bars_ratio,pullback_vol_ratio,post_sl_tp1,post_sl_max_r,mae_r,mfe_tp1,accel_ratio,buy_pressure,absorption,obv_agree,obv_strength,size_mult,signal_bar,zone_age_bars,bos_candles_ago,extension_atr,room_atr,tp1_beyond_level,entry_range_atr,run_bars
SOLUSDT,326,357,1771867800,1771896600,SHORT,TRAIL,78.26,76.61654,64.5645,80.9991,0.0,-0.004821428571428584,0.004821428571428584,14,1.78,29.55,0.5555555555555497,0.008487713252012433,1.52722253781398,base,adaptive disabled,1.25,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.1971,5,3.6183,0.0526,1.871,-1,0.0,0.3724,1.5759,2.442,-0.2459,1.56,1.0,-0.5043,0.421875,326,0,2,1.404,1.157,1,1.801,5
SUIUSDT,326,368,1771867800,1771906500,SHORT,TRAIL,0.874,0.855646,0.72105,0.90459,0.6045546767225052,0.5959832481510765,0.00857142857142857,13,1.74,29.24,0.5652173913043493,0.010278571759638753,2.002494191711785,base,adaptive disabled,1.25,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.1973,0,3.7793,0.0526,1.7636,-1,0.0,0.4838,1.2749,1.083,-0.2538,1.211,1.0,-0.463,0.75,326,0,2,1.151,1.534,1,1.89,0
ADAUSDT,327,357,1771868700,1771896600,SHORT,TRAIL,0.2633,0.2577707,0.2172225,0.2725155,0.0,-0.004821428571428549,0.004821428571428549,13,1.71,29.57,0.5121951219512204,0.010008898487952075,1.8249558249705202,base,adaptive disabled,1.15,76.5,90,90,50,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.7x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 13 | Risk x1.15,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.2411,0,4.1253,0.0526,1.4001,-1,0.0,0.2387,1.067,1.145,-0.2968,1.273,1.0,-0.6871,0.421875,326,0,2,1.441,2.684,1,1.193,0
XRPUSDT,371,451,1771908300,1771981200,SHORT,SL,1.3333,1.3108735,1.14641251,1.3706775,-0.9992642632599823,-1.0099656210286934,0.010701357768711103,16,1.43,35.39,0.4562211981566837,0.007879743896656998,1.360901591567944,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,bear,0.3071,0,1.4928,0.1765,0.6352,0,3.294,1.3511,0.9676,3.882,-0.0226,0.996,1.0,-0.0663,0.75,369,3,1,0.403,0.076,1,1.373,0
SUIUSDT,406,412,1771939800,1771946100,SHORT,SL,0.8508,0.84118787,0.77069894,0.86682021,-1.2562257298749535,-1.2827796889054532,0.026553959030499633,15,7.98,34.62,0.3827160493827152,0.008199807340347214,1.5596033563162375,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 8.0x | FVG | ChoCH | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,1,-1.0,bull,0.481,0,4.2422,0.0526,8.1914,0,9.9299,1.0799,0.8323,1.292,0.1228,3.653,-1.0,0.1199,1.25,406,0,3,1.104,0.022,1,0.952,0
BTCUSDT,409,412,1771942500,1771946100,SHORT,SL,63105.8,62651.43824,59319.452,63863.0696,-0.29247757337677377,-0.3018525733767738,0.009375000000000005,16,1.45,37.51,0.4162124550620472,0.003237223597354582,0.9407878988669619,base,adaptive disabled,1.25,84.5,90,100,70,80,NEW_YORK,bearish,bearish,FVG,BOS bearish | Vol 1.4x | FVG | ChoCH | Engulfing | Session:NEW_YORK | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:NEW_YORK | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0,-1.0,range,0.7565,0,3.1693,0.25,4.1217,0,8.2241,1.1111,0.8154,10.0,0.0442,1.34,-1.0,0.092,0.28125,405,2,2,0.665,1.056,1,3.333,0
BTCUSDT,563,604,1772081100,1772118900,LONG,SL,68388.8,69073.67960347,74096.13002889,67247.33399422,-0.2667519485540279,-0.27180711880945474,0.005055170255426866,17,1.51,59.58,0.7133316637448903,0.004959298468804119,1.0028775847360756,base,adaptive disabled,1.15,84.5,90,100,70,80,OFF_HOURS,bullish,bullish,FVG,BOS bullish | Vol 1.5x | FVG | ChoCH | Engulfing | Discount | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Discount+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | QualityRisk:1.15,0,0,-1.0,range,0.3924,0,2.405,0.1111,1.1382,0,3.7423,1.3823,0.4369,5.053,0.0738,1.638,1.0,0.2448,0.2109375,562,1,2,1.036,4.183,0,1.012,0
XRPUSDT,564,609,1772082000,1772123400,LONG,SL,1.4413,1.46189128,1.61289398,1.4069812,-0.7823700129375143,-0.7949692296933448,0.012599216755830592,20,2.09,50.83,0.25248508946322373,0.010023345680530924,1.5497554161056566,base,adaptive disabled,1.15,91.5,90,90,100,80,OFF_HOURS,bullish,bullish,OB,BOS bullish | Vol 2.1x | FVG | OB | LiqSweep | ChoCH | StrongTrend1h | Zone:OB | 💎PREMIUM | MTF 20 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | LiqSweep+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF_HOURS | Strong1h+1 | 💎Premium+3 | QualityRisk:1.15,1,1,-1.0,bear,0.5347,0,2.6713,0.1765,1.827,0,4.0031,1.0985,0.7139,0.0,-0.1399,1.155,-1.0,-0.0612,0.75,564,5,3,0.25,1.747,1,0.989,0
BTCUSDT,586,603,1772101800,1772118000,LONG,SL,68216.7,68707.86024,69513.9,67398.0996,-0.4006075491778427,-0.41310754917784276,0.012500000000000065,22,1.39,55.17,0.1231089123108894,0.004855141531394083,1.1930177254309862,base,adaptive disabled,1.15,82.3,90,74,80,80,LONDON,bullish,bullish,OB,BOS bullish | Vol 1.4x | FVG | OB | LiqSweep | MACD_Div | ChoCH | Engulfing | Session:LONDON | StrongTrend1h | Zone:OB | 💎PREMIUM | MTF 22 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:LONDON | Strong1h+1 | 💎Premium+3 | QualityRisk:1.15,1,1,-1.0,bear,0.5025,1,2.1282,0.1765,1.1069,0,5.4025,1.2254,0.4176,0.0,-0.1319,1.123,1.0,-0.1126,0.375,582,23,2,0.397,1.18,1,0.812,1
SUIUSDT,903,913,1772387100,1772397000,SHORT,TRAIL,0.8959,0.8770861,0.8488,0.9272565,1.0181923467974885,1.0041298467974886,0.014062499999999995,14,1.73,34.91,0.4120082815734995,0.015131736302963397,2.136175586131357,base,adaptive disabled,1.15,66.0,60,90,50,80,OFF_HOURS,neutral,bearish,FVG,BOS bearish | Vol 1.7x | FVG | LiqSweep | ChoCH | Engulfing | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF_HOURS | QualityRisk:1.15,0,0,-1.0,range,0.3278,1,3.8024,0.1765,1.0462,-1,0.0,0.2137,1.3607,0.0,0.0499,1.236,-1.0,0.0141,1.23046875,901,17,2,1.845,0.113,1,1.856,1
SOLUSDT,1117,1156,1772579700,1772615700,LONG,TRAIL,86.87,88.69427,102.07225,83.82955,0.42536473380830914,0.4205433052368806,0.004821428571428561,15,1.43,65.97,0.5775401069518753,0.00844313492445982,1.0698838135634048,base,adaptive disabled,1.25,78.5,90,100,50,80,DEAD_ZONE,bullish,bullish,FVG,BOS bullish | Vol 1.4x | FVG | ChoCH | Engulfing | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:DEAD_ZONE | Strong1h+1 | QualityRisk:1.15 | RelStrengthRisk:1.25,0,1,-1.0,bear,0.1672,0,3.2185,0.1111,2.0193,-1,0.0,0.7038,1.6664,0.0,-0.0064,2.144,1.0,0.2398,0.421875,1117,0,4,1.718,0.014,1,1.132,0
ADAUSDT,1141,1154,1772601300,1772613900,SHORT,SL,0.2616,0.25765005,0.22868376,0.26818325,-1.0680514943227164,-1.0792275851593092,0.011176090836592894,15,3.79,38.38,0.40206185567010283,0.010215996353509253,1.4087321292847401,base,adaptive disabled,1.15,90.5,90,100,90,80,OFF_HOURS,bearish,bearish,FVG,BOS bearish | Vol 3.8x | FVG | ChoCH | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OFF_HOURS | Strong1h+1 | TrendPairRisk:1.15,0,0,-1.0,range,0.4304,2,2.4481,0.0526,1.2346,0,2.5393,1.6709,0.7342,0.0,-0.1316,1.879,1.0,-0.2757,0.703125,1137,29,3,1.008,0.384,1,1.536,2
